name,party,votes,ward,status,constituency
DR S PRAVEEN,Independent,799,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
I MOHAMED YASEEN,Thakkam Katchi,669,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
K PALANIYAPPAN,Tamizhaga Murpokku Makkal Katchi,617,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
S PRABHU,Independent,514,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
P BASKARAN,Independent,494,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
P HARIDAS,Independent,460,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
C A JAYARAMAN,Independent,447,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
G RAMKUMAR,Independent,426,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
N MANIKKAM,Independent,403,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
M PREMKUMAR,Independent,394,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
S MUNIKUMAR,Samaniya Makkal Nala Katchi,394,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
A JINNA MOHAMMED,Independent,388,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
M SARAVANAN,Independent,385,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
S SIVARAMAN,Independent,343,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
C PREMKUMAR,Independent,316,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
NOTA,None of the Above,26450,SRIPERUMBUDUR - 5,Lost,Tamil Nadu
DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,425679,TENKASI - 37,Won,Tamil Nadu
DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,229480,TENKASI - 37,Lost,Tamil Nadu
B JOHN PANDIAN,Bharatiya Janata Party,208825,TENKASI - 37,Lost,Tamil Nadu
ESAI MATHIVANAN,Naam Tamilar Katchi,130335,TENKASI - 37,Lost,Tamil Nadu
KARPAGAVALLI P,Independent,6314,TENKASI - 37,Lost,Tamil Nadu
T MAHESHKUMAR,Bahujan Samaj Party,3554,TENKASI - 37,Lost,Tamil Nadu
RAMASAMY P,Viro Ke Vir Indian Party,3412,TENKASI - 37,Lost,Tamil Nadu
M MANMATHAN,Independent,3278,TENKASI - 37,Lost,Tamil Nadu
A SEETHA,Bahujan Dravida Party,2476,TENKASI - 37,Lost,Tamil Nadu
KRISHNASAMY,Independent,1833,TENKASI - 37,Lost,Tamil Nadu
M UMAMAHESWARI,Desiya Makkal Sakthi Katchi,1655,TENKASI - 37,Lost,Tamil Nadu
A MUTHAIAH,Independent,1457,TENKASI - 37,Lost,Tamil Nadu
P KRISHNASAMY,Independent,1350,TENKASI - 37,Lost,Tamil Nadu
ARUMUGASWAMI M,Independent,1313,TENKASI - 37,Lost,Tamil Nadu
RAJA SEKAR,Independent,993,TENKASI - 37,Lost,Tamil Nadu
NOTA,None of the Above,17165,TENKASI - 37,Lost,Tamil Nadu
MURASOLI S,Dravida Munnetra Kazhagam,502245,THANJAVUR - 30,Won,Tamil Nadu
SIVANESAN P,Desiya Murpokku Dravida Kazhagam,182662,THANJAVUR - 30,Lost,Tamil Nadu
MURUGANANTHAM M,Bharatiya Janata Party,170613,THANJAVUR - 30,Lost,Tamil Nadu
HUMAYUN KABIR,Naam Tamilar Katchi,120293,THANJAVUR - 30,Lost,Tamil Nadu
RENGASAMY C,Independent,18191,THANJAVUR - 30,Lost,Tamil Nadu
SARAVANAN M,Independent,6795,THANJAVUR - 30,Lost,Tamil Nadu
SENTHIL KUMAR N,Independent,4158,THANJAVUR - 30,Lost,Tamil Nadu
EZHILARASAN S,Independent,3851,THANJAVUR - 30,Lost,Tamil Nadu
JAYABAL A,Bahujan Samaj Party,2410,THANJAVUR - 30,Lost,Tamil Nadu
SANTHOSH M,Independent,1992,THANJAVUR - 30,Lost,Tamil Nadu
ER ARJUN S,Independent,1446,THANJAVUR - 30,Lost,Tamil Nadu
KARIKALA CHOLAN S,Independent,1217,THANJAVUR - 30,Lost,Tamil Nadu
NOTA,None of the Above,12833,THANJAVUR - 30,Lost,Tamil Nadu
THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,571493,THENI - 33,Won,Tamil Nadu
TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,292668,THENI - 33,Lost,Tamil Nadu
NARAYANASAMY V T,All India Anna Dravida Munnetra Kazhagam,155587,THENI - 33,Lost,Tamil Nadu
MADHAN,Naam Tamilar Katchi,76834,THENI - 33,Lost,Tamil Nadu
PRAKASH P,Independent,6298,THENI - 33,Lost,Tamil Nadu
PANDIKUMAR S,Independent,3967,THENI - 33,Lost,Tamil Nadu
AJEETHKUMAR S,Independent,3006,THENI - 33,Lost,Tamil Nadu
PARAMASIVAN S,Independent,2866,THENI - 33,Lost,Tamil Nadu
PARTHIBAN G,Independent,2277,THENI - 33,Lost,Tamil Nadu
JEEVA M,Bahujan Samaj Party,2222,THENI - 33,Lost,Tamil Nadu
CHARCHIL DURAI P,Humanity for Peace Party,1935,THENI - 33,Lost,Tamil Nadu
PREMA S,Independent,1232,THENI - 33,Lost,Tamil Nadu
MANIKANDAN R,Independent,1201,THENI - 33,Lost,Tamil Nadu
REVATHI K,Independent,1128,THENI - 33,Lost,Tamil Nadu
MUDIYARASU,All India Youth Development Party,1094,THENI - 33,Lost,Tamil Nadu
THIAGARAJAN O V,Independent,932,THENI - 33,Lost,Tamil Nadu
VASANTHA SARAVANAN,Independent,805,THENI - 33,Lost,Tamil Nadu
VIJAYAN K,Independent,667,THENI - 33,Lost,Tamil Nadu
SETHUPATHI G,Independent,617,THENI - 33,Lost,Tamil Nadu
JOHNGILBERTRAJ,Independent,603,THENI - 33,Lost,Tamil Nadu
AATHIMUTHUKUMAR M,Independent,592,THENI - 33,Lost,Tamil Nadu
MUTHUKUMAR,Independent,543,THENI - 33,Lost,Tamil Nadu
HARIKRISHNAKUMAR R,Independent,486,THENI - 33,Lost,Tamil Nadu
SATHEESH KUMAR A,Independent,453,THENI - 33,Lost,Tamil Nadu
KUMAR,Independent,377,THENI - 33,Lost,Tamil Nadu
NOTA,None of the Above,11336,THENI - 33,Lost,Tamil Nadu
KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,540729,THOOTHUKKUDI - 36,Won,Tamil Nadu
SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,147991,THOOTHUKKUDI - 36,Lost,Tamil Nadu
VIJAYASEELAN SDR,Tamil Maanila Congress  (Moopanar),122380,THOOTHUKKUDI - 36,Lost,Tamil Nadu
ROWENA RUTH JANE J,Naam Tamilar Katchi,120300,THOOTHUKKUDI - 36,Lost,Tamil Nadu
RAJHA N P,Naam Indiar Party,6640,THOOTHUKKUDI - 36,Lost,Tamil Nadu
ARUNADEVI R,Independent,6072,THOOTHUKKUDI - 36,Lost,Tamil Nadu
CHITHIRAI JEGAN S,Independent,3640,THOOTHUKKUDI - 36,Lost,Tamil Nadu
SIVANESWARAN J,Independent,3376,THOOTHUKKUDI - 36,Lost,Tamil Nadu
SAMUEL T,Independent,2245,THOOTHUKKUDI - 36,Lost,Tamil Nadu
MANIKKARAJ A,Bahujan Samaj Party,2195,THOOTHUKKUDI - 36,Lost,Tamil Nadu
AASIRIYAR SHANMUGA SUNDARAM K,Independent,1839,THOOTHUKKUDI - 36,Lost,Tamil Nadu
KALEERMURUGAPAVENTHAN R,Makkal Nalvaazhvuk Katchi,1792,THOOTHUKKUDI - 36,Lost,Tamil Nadu
PONKUMARAN T P S,Independent,897,THOOTHUKKUDI - 36,Lost,Tamil Nadu
JEYAKUMAR C,Independent,829,THOOTHUKKUDI - 36,Lost,Tamil Nadu
GANDHIMALLAR S M,Independent,805,THOOTHUKKUDI - 36,Lost,Tamil Nadu
BISHOP DR GODFREY NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,769,THOOTHUKKUDI - 36,Lost,Tamil Nadu
PERUMALKUMAR P,Puthiya Makkal Tamil Desam Katchi,739,THOOTHUKKUDI - 36,Lost,Tamil Nadu
ESAKKIMUTHU V,Independent,710,THOOTHUKKUDI - 36,Lost,Tamil Nadu
KANNAN G,Independent,689,THOOTHUKKUDI - 36,Lost,Tamil Nadu
DAVID JEBASEELAN J,Independent,663,THOOTHUKKUDI - 36,Lost,Tamil Nadu
SUDALAIMUTHU P,Independent,578,THOOTHUKKUDI - 36,Lost,Tamil Nadu
KRISHNAN S,Independent,480,THOOTHUKKUDI - 36,Lost,Tamil Nadu
RADHAKRISHNAN V G,Independent,461,THOOTHUKKUDI - 36,Lost,Tamil Nadu
JAMES P,Independent,444,THOOTHUKKUDI - 36,Lost,Tamil Nadu
PONRAJ K,Independent,429,THOOTHUKKUDI - 36,Lost,Tamil Nadu
PRASANNA KUMAR M,Independent,396,THOOTHUKKUDI - 36,Lost,Tamil Nadu
SELVAMUTHUKUMAR M,Independent,341,THOOTHUKKUDI - 36,Lost,Tamil Nadu
SENTHIL KUMAR S,Independent,291,THOOTHUKKUDI - 36,Lost,Tamil Nadu
NOTA,None of the Above,9806,THOOTHUKKUDI - 36,Lost,Tamil Nadu
DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,542213,TIRUCHIRAPPALLI - 24,Won,Tamil Nadu
KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,229119,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
RAJESSH. T,Naam Tamilar Katchi,107458,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
SENTHILNATHAN. P,Amma Makkal Munnettra Kazagam,100747,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
SELVARAJ. S,Independent,14796,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
DAMODARAN. S,Independent,5166,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
ALLIMUTHU. M,Bahujan Samaj Party,4431,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
RAJENDRAN. S,Independent,3499,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
JEEVANANTHAM. M,Independent,2952,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
SAKTHIVEL,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,2646,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
BACKIYARAJ VELLAISAMY,Naadaalum Makkal Katchi,2283,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
KARUPPIAH. S,Independent,2171,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
SATHIS KUMAR. S,Independent,2052,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
KAVITHA. S,Independent,1736,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
NAGARAJAN. M,Independent,1664,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
GOVINDARASU. P,Independent,1566,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
ANBIN AMUDHAN. R,Independent,1498,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
DURAIRAJ. A,Independent,1463,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
SASIKUMAR. P,Independent,1352,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
PANNEERSELVAM. P,Independent,1263,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
DURAI. S,Independent,1202,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
ANAND SELVARAJ,Independent,1178,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
SANKAR. R,Independent,1166,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
AMBIVENKATESAN,Independent,978,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
DURAI. T,Independent,880,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
SATHYAMURTHY. T,Independent,834,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
VIJAYAKUMAR. P,Independent,802,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
ROJA RAMANI. S,Anna MGR Dravida Makkal Kalgam,777,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
PERIYASAMY. V,Independent,774,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
AKILA. M,Independent,747,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
RAJENDRAN. P,Independent,675,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
MANIKANDARAJ. S,Independent,608,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
MURUGESAN. P,Independent,497,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
JOSEPH. L,Samaniya Makkal Nala Katchi,491,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
MUTHURAJA. T,Independent,431,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
NOTA,None of the Above,13849,TIRUCHIRAPPALLI - 24,Lost,Tamil Nadu
ROBERT BRUCE C,Indian National Congress,502296,TIRUNELVELI - 38,Won,Tamil Nadu
NAINAR NAGENTHRAN,Bharatiya Janata Party,336676,TIRUNELVELI - 38,Lost,Tamil Nadu
JANSI RANI M,All India Anna Dravida Munnetra Kazhagam,89601,TIRUNELVELI - 38,Lost,Tamil Nadu
SATHYA,Naam Tamilar Katchi,87686,TIRUNELVELI - 38,Lost,Tamil Nadu
POTTAL SUNDARA MUNISWARAN,Independent,19852,TIRUNELVELI - 38,Lost,Tamil Nadu
ATHISAYAM V,Independent,3781,TIRUNELVELI - 38,Lost,Tamil Nadu
BALASUBRAMANIAN,Bahujan Samaj Party,2067,TIRUNELVELI - 38,Lost,Tamil Nadu
CHINNA MAHARAJA K,Independent,1895,TIRUNELVELI - 38,Lost,Tamil Nadu
DAVID M,Independent,1836,TIRUNELVELI - 38,Lost,Tamil Nadu
SAMUEL LAWRENCE PONNIAH,Independent,1497,TIRUNELVELI - 38,Lost,Tamil Nadu
BISHOP DR GODFREY WASHINGTON NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1475,TIRUNELVELI - 38,Lost,Tamil Nadu
LENIN K,Independent,1450,TIRUNELVELI - 38,Lost,Tamil Nadu
CHANDRAN M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1413,TIRUNELVELI - 38,Lost,Tamil Nadu
SELVA KUMAR S,Bahujan Dravida Party,1346,TIRUNELVELI - 38,Lost,Tamil Nadu
KUMAR V,Puthiya Makkal Tamil Desam Katchi,1072,TIRUNELVELI - 38,Lost,Tamil Nadu
MUTHURAMAN A,Aravor Munnetra Kazhagam,1048,TIRUNELVELI - 38,Lost,Tamil Nadu
THALAPATHY MURUGAN M,Independent,917,TIRUNELVELI - 38,Lost,Tamil Nadu
SIVARAM K,Independent,875,TIRUNELVELI - 38,Lost,Tamil Nadu
RAMAKRISHNAN N,Nam India Naam Indiyar Katchi,790,TIRUNELVELI - 38,Lost,Tamil Nadu
SURESH,Independent,788,TIRUNELVELI - 38,Lost,Tamil Nadu
DR RAJENDRA RETNAM K,Independent,689,TIRUNELVELI - 38,Lost,Tamil Nadu
SEVAL KANNAN B ADVOCATE,Independent,636,TIRUNELVELI - 38,Lost,Tamil Nadu
RAGHAVAN C M,Independent,366,TIRUNELVELI - 38,Lost,Tamil Nadu
NOTA,None of the Above,7396,TIRUNELVELI - 38,Lost,Tamil Nadu
"SUBBARAYAN, K.",Communist Party of India,472739,TIRUPPUR - 18,Won,Tamil Nadu
"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,346811,TIRUPPUR - 18,Lost,Tamil Nadu
"MURUGANANDAM, A.P.",Bharatiya Janata Party,185322,TIRUPPUR - 18,Lost,Tamil Nadu
"SEETHALAKSHMI, M.K.",Naam Tamilar Katchi,95726,TIRUPPUR - 18,Lost,Tamil Nadu
"VELUSAMY, A.",Independent,7125,TIRUPPUR - 18,Lost,Tamil Nadu
"PALANI, V.",Bahujan Samaj Party,6054,TIRUPPUR - 18,Lost,Tamil Nadu
"SATHISHKUMAR, N.",Independent,2336,TIRUPPUR - 18,Lost,Tamil Nadu
"JANARTHANAM, P.",Tamilaga Makkal Thannurimai Katchi,1868,TIRUPPUR - 18,Lost,Tamil Nadu
"KANNAN, M.",Independent,1765,TIRUPPUR - 18,Lost,Tamil Nadu
"SENGUTTUVAN, M.R.",Independent,1567,TIRUPPUR - 18,Lost,Tamil Nadu
"SUBRAMANI, N.",Independent,1350,TIRUPPUR - 18,Lost,Tamil Nadu
"MALARVIZHI, G.",Rashtriya Samaj Paksha,1325,TIRUPPUR - 18,Lost,Tamil Nadu
"KARTHIKEYAN, P.",Independent,824,TIRUPPUR - 18,Lost,Tamil Nadu
NOTA,None of the Above,17737,TIRUPPUR - 18,Lost,Tamil Nadu
Sasikanth Senthil,Indian National Congress,796956,TIRUVALLUR - 1,Won,Tamil Nadu
"Balaganapathy, V. Pon",Bharatiya Janata Party,224801,TIRUVALLUR - 1,Lost,Tamil Nadu
"Nallathambi, K.",Desiya Murpokku Dravida Kazhagam,223904,TIRUVALLUR - 1,Lost,Tamil Nadu
"Jagadesh Chander, M.",Naam Tamilar Katchi,120838,TIRUVALLUR - 1,Lost,Tamil Nadu
"Tamizhmadhi, D.",Bahujan Samaj Party,13810,TIRUVALLUR - 1,Lost,Tamil Nadu
"Ashok Priyadarshan, S.",Desiya Makkal Sakthi Katchi,2946,TIRUVALLUR - 1,Lost,Tamil Nadu
Malathi,Naadaalum Makkal Katchi,2853,TIRUVALLUR - 1,Lost,Tamil Nadu
"Mani, E.",Independent,2752,TIRUVALLUR - 1,Lost,Tamil Nadu
"Devandhran, M.",Anna MGR Dravida Makkal Kalgam,2008,TIRUVALLUR - 1,Lost,Tamil Nadu
"Manimaran, V.",Independent,1922,TIRUVALLUR - 1,Lost,Tamil Nadu
"Balakrishnan, K.",Independent,1690,TIRUVALLUR - 1,Lost,Tamil Nadu
"Bharathidasan, S.S.",Independent,1631,TIRUVALLUR - 1,Lost,Tamil Nadu
"Shakthivel, A.J.",Independent,1613,TIRUVALLUR - 1,Lost,Tamil Nadu
"Sivasankaran, V.",Independent,1110,TIRUVALLUR - 1,Lost,Tamil Nadu
NOTA,None of the Above,18978,TIRUVALLUR - 1,Lost,Tamil Nadu
"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,547379,TIRUVANNAMALAI - 11,Won,Tamil Nadu
KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,313448,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"ASUVATHAMAN, A.",Bharatiya Janata Party,156650,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"RAMESHBABU,  R.",Naam Tamilar Katchi,83869,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"KALIAPERUMAL, M.",Independent,5713,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"BENNYRAJAN, C.J.",Bharatiya Praja Aikyata Party,4810,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"KALIYAPERUMAL, A.",Independent,3407,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"MOHANRAJA,  V.M.",Bahujan Samaj Party,2637,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
CAPTAIN GOWTHAM,Independent,1842,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"UDHAYAKUMAR, P.S.",Independent,1251,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"ANNADURAI, S.",Independent,1172,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"KOTHANDABANI, B.",Independent,965,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"SELVAM , K.",Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,954,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"KALASTHIRI,  S.",All India Uzhavargal Uzhaippalargal Katchi,950,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"VIJAYAKUMAR,  S.",Independent,934,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"JAGANNATHAN,  R.",Independent,864,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"SENTHAMIL SELVAN,  M.",Independent,856,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"AGNI SELVARASU, J.",Naadaalum Makkal Katchi,777,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"SATHIYAMOORTHY,  S.",Makkal Nala Kazhagam,736,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"SUB MAJOR SETTU, M.",Viro Ke Vir Indian Party,658,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"ANNADURAI, S.",Independent,648,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"SANKAR,  S.",Independent,578,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"ANNADURAI, A.",Independent,516,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"NALLASIVAM, M.",Independent,429,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"POONGODY,  A.",Independent,417,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"PALANI , T.N.",Independent,414,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"VIMAL, V.",Independent,342,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"THANGARAJ,  P.",Independent,295,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"RAMESH , T.P.",Independent,281,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
"NAKKEERAN ,  A.",Independent,265,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
DEEPAMMAL SUNDARI,Independent,259,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
NOTA,None of the Above,11957,TIRUVANNAMALAI - 11,Lost,Tamil Nadu
DM KATHIR ANAND,Dravida Munnetra Kazhagam,568692,VELLORE - 8,Won,Tamil Nadu
AC SHANMUGAM,Bharatiya Janata Party,352990,VELLORE - 8,Lost,Tamil Nadu
DR S PASUPATHI,All India Anna Dravida Munnetra Kazhagam,117682,VELLORE - 8,Lost,Tamil Nadu
D MAHESH ANAND,Naam Tamilar Katchi,53284,VELLORE - 8,Lost,Tamil Nadu
A NATARAJAN,Bharatiya Praja Aikyata Party,4005,VELLORE - 8,Lost,Tamil Nadu
SHANMUGAVELU,Independent,3576,VELLORE - 8,Lost,Tamil Nadu
MANSOOR ALI KHAN,Independent,2804,VELLORE - 8,Lost,Tamil Nadu
SYED ALI D,Independent,2124,VELLORE - 8,Lost,Tamil Nadu
P SHANMUGAM,Independent,2039,VELLORE - 8,Lost,Tamil Nadu
NAGARAJ P,Independent,1959,VELLORE - 8,Lost,Tamil Nadu
K JAYAMANI,Bahujan Samaj Party,1702,VELLORE - 8,Lost,Tamil Nadu
D SARAVANAN,Independent,1497,VELLORE - 8,Lost,Tamil Nadu
MP SHANMUGAM,Independent,868,VELLORE - 8,Lost,Tamil Nadu
N SIVAKUMAR,Independent,701,VELLORE - 8,Lost,Tamil Nadu
AFROSE,Independent,673,VELLORE - 8,Lost,Tamil Nadu
A BEEMARAO MILINTHAR,United Republican Party of India,670,VELLORE - 8,Lost,Tamil Nadu
DR S JAYARAJ,Independent,661,VELLORE - 8,Lost,Tamil Nadu
K SHANMUGAM,Independent,616,VELLORE - 8,Lost,Tamil Nadu
V KALIAPERUMAL,Ganasangam Party of India,600,VELLORE - 8,Lost,Tamil Nadu
G SHANMUGAM,Independent,572,VELLORE - 8,Lost,Tamil Nadu
PP JAYAPRAKASH,Independent,461,VELLORE - 8,Lost,Tamil Nadu
PASUPATHI,Independent,415,VELLORE - 8,Lost,Tamil Nadu
S WILLIAM SATHYARAJ,Tamil Manila Murpokku Dravida Kazhagam,377,VELLORE - 8,Lost,Tamil Nadu
M BABU,Independent,306,VELLORE - 8,Lost,Tamil Nadu
B JAGAN,Independent,285,VELLORE - 8,Lost,Tamil Nadu
AHMED RAASHID PALLIMIRA,Independent,273,VELLORE - 8,Lost,Tamil Nadu
SHANMUGASUNDARAM,Independent,251,VELLORE - 8,Lost,Tamil Nadu
C MADHAVAN,Independent,202,VELLORE - 8,Lost,Tamil Nadu
T JOHNSON,Independent,174,VELLORE - 8,Lost,Tamil Nadu
E RAJKUMAR,Independent,133,VELLORE - 8,Lost,Tamil Nadu
C RAMACHANDHIRAN,Independent,130,VELLORE - 8,Lost,Tamil Nadu
NOTA,None of the Above,8736,VELLORE - 8,Lost,Tamil Nadu
RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,477033,VILUPPURAM - 13,Won,Tamil Nadu
BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,406330,VILUPPURAM - 13,Lost,Tamil Nadu
MURALI SANKAR. S,Pattali Makkal Katchi,181882,VILUPPURAM - 13,Lost,Tamil Nadu
KALANCHIYAM. M,Naam Tamilar Katchi,57242,VILUPPURAM - 13,Lost,Tamil Nadu
KARUNCHIRUTHAI KALIYAMURTHY. K,Bahujan Samaj Party,3920,VILUPPURAM - 13,Lost,Tamil Nadu
ARUMUGAM. M,United Republican Party of India,3504,VILUPPURAM - 13,Lost,Tamil Nadu
DHARMA. K,Independent,2382,VILUPPURAM - 13,Lost,Tamil Nadu
VIVEKANANDHAN. E,Independent,1953,VILUPPURAM - 13,Lost,Tamil Nadu
ARASAN. K,Independent,1842,VILUPPURAM - 13,Lost,Tamil Nadu
VIGNESVARAN. R,Independent,1656,VILUPPURAM - 13,Lost,Tamil Nadu
SURESH. S,Independent,1397,VILUPPURAM - 13,Lost,Tamil Nadu
PERIYAN. A,Independent,1049,VILUPPURAM - 13,Lost,Tamil Nadu
GUNASEKARAN. K,Independent,963,VILUPPURAM - 13,Lost,Tamil Nadu
VIJAYAN. A,Independent,861,VILUPPURAM - 13,Lost,Tamil Nadu
NAGARAJ. A,Independent,674,VILUPPURAM - 13,Lost,Tamil Nadu
SURESH. K,Independent,598,VILUPPURAM - 13,Lost,Tamil Nadu
SATHIYARAJ. N,Independent,415,VILUPPURAM - 13,Lost,Tamil Nadu
NOTA,None of the Above,8966,VILUPPURAM - 13,Lost,Tamil Nadu
MANICKAM TAGORE B,Indian National Congress,385256,VIRUDHUNAGAR - 34,Won,Tamil Nadu
VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,380877,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
RADIKAA R,Bharatiya Janata Party,166271,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
KAUSHIK S,Naam Tamilar Katchi,77031,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
RAJESH,Independent,6173,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
ASHOK KUMAR M,Bharatiya Praja Aikyata Party,5293,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
SEKAR S,Hindu Samaj Party,3446,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
MANIKANDAN M,Independent,3346,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
MAYAK KANNAN,Independent,2751,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
MAHENDRA RAMAKRISHNAN P,Independent,2405,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
SURESH,Bahujan Samaj Party,2397,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
SELVI K,Independent,2188,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
PANDIYAMMAL R,Independent,2133,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
SUDALAIMANI M,Independent,1359,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
PALANICHAMY P,Bahujan Dravida Party,1263,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
PALANISAMY K,Independent,1257,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
VENKATESWARAN V K,Independent,1247,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
SELVARAJAN V V,Independent,1121,VIRUDHUNAGAR - 34,Lost,Tamil Nadu
